Item,Calories,Fat,Carb,Fiber,Protein,Category
Chonga Bagel,300,5,50,3,12,Bagels
8-Grain Roll,380,6,70,7,10,Muffins & Breads
Almond Croissant,410,22,45,3,10,Croissants
Apple Fritter,460,23,56,2,7,Desserts
Banana Nut Bread,420,22,52,2,6,Muffins & Breads
Blueberry Muffin with Yogurt and Honey,380,16,53,1,6,Muffins & Breads
Blueberry Scone,420,17,61,2,5,Scones
Butter Croissant,240,12,28,1,5,Croissants
Butterfly Cookie,350,22,38,0,2,Cookies
Cheese Danish,320,16,36,1,8,Croissants
Chewy Chocolate Cookie,170,5,30,2,2,Cookies
Chocolate Chip Cookie,310,15,42,2,4,Cookies
Chocolate Chunk Muffin,440,21,60,2,7,Muffins & Breads
Chocolate Croissant,330,18,38,1,6,Croissants
Chocolate Hazelnut Croissant,390,22,43,2,7,Croissants
Chocolate Marble Loaf Cake,490,24,64,2,6,Muffins & Breads
Cinnamon Morning Bun,390,15,56,2,8,Muffins & Breads
Cinnamon Raisin Bagel,270,1,58,3,9,Bagels
Classic Coffee Cake,390,16,57,1,5,Muffins & Breads
Cookie Butter Bar,360,23,36,0,2,Bars
Cranberry Orange Scone,420,15,64,1,6,Scones
Devil's Food Doughnut,430,23,53,2,5,Desserts
Double Chocolate Brownie,410,24,46,3,6,Desserts
Double Chocolate Chunk Brownie,490,28,55,3,7,Desserts
Double Chocolate Loaf Cake,440,23,54,3,5,Muffins & Breads
Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0,3,Bagels
Everything Bagel with Cheese,290,3.5,53,2,11,Bagels
Frappuccino® Cookie Straw,90,3,14,0,1,Desserts
French Toast - Bantam Bagels (2 Pack),200,8,30,0,6,Muffins & Breads
Gluten-Free Marshmallow Dream Bar,240,5,45,0,2,Bars
Ice Cream Cone Sugar Cookie,250,14,29,1,3,Cookies
Iced Lemon Pound Cake,470,20,68,1,6,Muffins & Breads
Michigan Cherry Oat Bar,310,10,47,2,3,Bars
Multigrain Bagel,350,4,64,8,17,Bagels
Oatmeal Cookie,290,12,40,3,5,Cookies
Octopus Cookie,330,18,39,1,3,Cookies
Old-Fashioned Glazed Doughnut,480,27,56,1,5,Desserts
Peanut butter cup cookie,360,21,36,3,8,Cookies
Pecan Tart,330,18,39,1,4,Desserts
Petite Vanilla Bean Scone,120,4.5,18,0,2,Scones
Plain Bagel,280,1.5,56,2,9,Bagels
Pumpkin Bread,410,15,63,2,6,Muffins & Breads
Raspberry Swirl Loaf Cake,420,17,61,1,6,Muffins & Breads
Raspberry Whoopie Pie,360,18,45,1,3,Desserts
Reduced-Fat Cinnamon Swirl Coffee Cake,370,9,67,2,5,Muffins & Breads
S'mores Bar,330,17,44,1,2,Bars
